,importance
ch3_wl,0.047111038477526734
ch3_mav,0.0380954592920301
ch3_complexity,0.03191535146346848
ch3_ssc,0.03115965196715737
ch2_mobility,0.02815602190733181
ch3_bp,0.027855920101483685
ch3_rms,0.027560265968012095
ch4_wl,0.027003345608893736
ch1_mobility,0.02677650089265526
ch1_mav,0.026537397666435817
ch1_wl,0.026488581657013822
ch1_activity,0.02517321949832143
ch3_var,0.02493564473522158
ch1_var,0.024453242015863783
ch2_complexity,0.023402992271191737
ch3_mobility,0.023230898670135298
ch2_wl,0.02287801315877677
ch3_activity,0.02220697681547287
ch1_complexity,0.021717002588861875
ch2_mf,0.021378312193289967
ch2_bp,0.02128904089194587
ch1_rms,0.02121467348122005
ch2_mav,0.021204656848599544
ch4_mobility,0.021189347931941313
ch4_pf,0.01970660737135487
ch4_bp,0.01880010919104078
ch3_zc,0.01864078031333301
ch1_bp,0.018561962155527082
ch4_zc,0.01841908501213799
ch1_ssc,0.018053809960027468
ch1_mf,0.017854613442386275
ch2_rms,0.017276905369021444
ch4_rms,0.016785541522033716
ch4_mf,0.016498805970761903
ch4_complexity,0.016469199386717995
ch1_zc,0.015681509083220274
ch4_var,0.015593313092204682
ch4_ssc,0.015486078398461235
ch3_mf,0.015125584030572204
ch4_mav,0.014764225911486793
ch2_zc,0.014463737009380626
ch2_activity,0.013880503866222735
ch2_var,0.013418701283642908
ch4_activity,0.013295798976672457
ch2_ssc,0.01249699262649075
ch3_pf,0.009527110481865626
ch2_pf,0.008406243480815225
ch1_pf,0.007859225961770813
